table_a,column_a,table_b,column_b,label
suppliers_a,supplier_id,suppliers_b,org_name,0
suppliers_a,supplier_id,suppliers_b,email,0
suppliers_a,supplier_id,suppliers_b,region,0
suppliers_a,supplier_id,suppliers_b,phone,0
suppliers_a,company_name,suppliers_b,vendor_id,0
suppliers_a,company_name,suppliers_b,org_name,1
suppliers_a,company_name,suppliers_b,email,0
suppliers_a,company_name,suppliers_b,region,0
suppliers_a,company_name,suppliers_b,phone,0
suppliers_a,contact_email,suppliers_b,vendor_id,0
suppliers_a,contact_email,suppliers_b,org_name,0
suppliers_a,contact_email,suppliers_b,email,1
suppliers_a,contact_email,suppliers_b,region,0
suppliers_a,contact_email,suppliers_b,phone,0
suppliers_a,country,suppliers_b,vendor_id,0
suppliers_a,country,suppliers_b,org_name,0
suppliers_a,country,suppliers_b,email,0
suppliers_a,country,suppliers_b,region,1
suppliers_a,country,suppliers_b,phone,0
suppliers_a,phone_number,suppliers_b,vendor_id,0
suppliers_a,phone_number,suppliers_b,org_name,0
suppliers_a,phone_number,suppliers_b,email,0
suppliers_a,phone_number,suppliers_b,region,0
suppliers_a,phone_number,suppliers_b,phone,1
reviews_a,review_id,reviews_b,feedback_id,1
reviews_a,review_id,reviews_b,item_id,0
reviews_a,review_id,reviews_b,score,0
reviews_a,review_id,reviews_b,comment,0
reviews_a,review_id,reviews_b,created_at,0
reviews_a,product_id,reviews_b,feedback_id,0
reviews_a,product_id,reviews_b,item_id,1
reviews_a,product_id,reviews_b,score,0
reviews_a,product_id,reviews_b,comment,0
reviews_a,product_id,reviews_b,created_at,0
reviews_a,rating,reviews_b,feedback_id,0
reviews_a,rating,reviews_b,item_id,0
reviews_a,rating,reviews_b,score,1
reviews_a,rating,reviews_b,comment,0
reviews_a,rating,reviews_b,created_at,0
reviews_a,review_text,reviews_b,feedback_id,0
reviews_a,review_text,reviews_b,item_id,0
reviews_a,review_text,reviews_b,score,0
reviews_a,review_text,reviews_b,comment,1
reviews_a,review_text,reviews_b,created_at,0
reviews_a,review_date,reviews_b,feedback_id,0
reviews_a,review_date,reviews_b,item_id,0
reviews_a,review_date,reviews_b,score,0
reviews_a,review_date,reviews_b,comment,0
reviews_a,review_date,reviews_b,created_at,1
invoices_a,invoice_id,invoices_b,bill_id,1
invoices_a,invoice_id,invoices_b,client_id,0
invoices_a,invoice_id,invoices_b,created_date,0
invoices_a,invoice_id,invoices_b,deadline,0
invoices_a,invoice_id,invoices_b,amount_due,0
invoices_a,customer_id,invoices_b,bill_id,0
invoices_a,customer_id,invoices_b,client_id,1
invoices_a,customer_id,invoices_b,created_date,0
invoices_a,customer_id,invoices_b,deadline,0
invoices_a,customer_id,invoices_b,amount_due,0
invoices_a,issue_date,invoices_b,bill_id,0
invoices_a,issue_date,invoices_b,client_id,0
invoices_a,issue_date,invoices_b,created_date,1
invoices_a,issue_date,invoices_b,deadline,0
invoices_a,issue_date,invoices_b,amount_due,0
invoices_a,due_date,invoices_b,bill_id,0
invoices_a,due_date,invoices_b,client_id,0
invoices_a,due_date,invoices_b,created_date,0
invoices_a,due_date,invoices_b,deadline,1
invoices_a,due_date,invoices_b,amount_due,0
invoices_a,total_amount,invoices_b,bill_id,0
invoices_a,total_amount,invoices_b,client_id,0
invoices_a,total_amount,invoices_b,created_date,0
invoices_a,total_amount,invoices_b,deadline,0
invoices_a,total_amount,invoices_b,amount_due,1
contracts_a,contract_id,contracts_b,agreement_id,1
contracts_a,contract_id,contracts_b,party_name,0
contracts_a,contract_id,contracts_b,valid_from,0
contracts_a,contract_id,contracts_b,valid_until,0
contracts_a,contract_id,contracts_b,contract_value,0
contracts_a,client_name,contracts_b,agreement_id,0
contracts_a,client_name,contracts_b,party_name,1
contracts_a,client_name,contracts_b,valid_from,0
contracts_a,client_name,contracts_b,valid_until,0
contracts_a,client_name,contracts_b,contract_value,0
contracts_a,start_date,contracts_b,agreement_id,0
contracts_a,start_date,contracts_b,party_name,0
contracts_a,start_date,contracts_b,valid_from,1
contracts_a,start_date,contracts_b,valid_until,0
contracts_a,start_date,contracts_b,contract_value,0
contracts_a,end_date,contracts_b,agreement_id,0
contracts_a,end_date,contracts_b,party_name,0
contracts_a,end_date,contracts_b,valid_from,0
contracts_a,end_date,contracts_b,valid_until,1
contracts_a,end_date,contracts_b,contract_value,0
contracts_a,value,contracts_b,agreement_id,0
contracts_a,value,contracts_b,party_name,0
contracts_a,value,contracts_b,valid_from,0
contracts_a,value,contracts_b,valid_until,0
contracts_a,value,contracts_b,contract_value,1
